,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Category,Gender,Age,PositiveTransfer,FaceStimMatrix,oldYMcounter,oldYFcounter,oldOMcounter,oldOFcounter,newYMcounter,newYFcounter,newOMcounter,newOFcounter,keyPressed,Mem,Hit,FA,CR,Miss,RT,subject
42,43,MemResp,3,43,42,42,0,YM,1,1,0,9,5,10,10,7,2,3,3,3,k,1,0,0,1,0,818,46
43,44,MemResp,3,44,43,43,0,OF,2,2,0,4,5,10,10,8,2,3,3,3,k,2,0,0,0,1,679,46
44,45,MemResp,3,45,44,44,0,OF,2,2,0,12,5,10,10,8,2,3,3,4,k,1,0,0,1,0,981,46
45,46,MemResp,3,46,45,45,0,YM,1,1,0,9,5,10,10,8,3,3,3,4,k,1,0,0,1,0,945,46
46,47,MemResp,3,47,46,46,0,OM,1,2,0,11,5,10,10,8,3,3,4,4,k,1,0,0,1,0,926,46
47,48,MemResp,3,48,47,47,0,YM,1,1,0,1,6,10,10,8,3,3,4,4,a,2,1,0,0,0,882,46
48,49,MemResp,3,49,48,48,0,OM,1,2,1,3,6,10,11,8,3,3,4,4,k,2,0,0,0,1,847,46
49,50,MemResp,3,50,49,49,0,YF,2,1,0,10,6,10,11,8,3,4,4,4,k,1,0,0,1,0,916,46
50,51,MemResp,3,51,50,50,0,YM,1,1,0,9,6,10,11,8,4,4,4,4,k,1,0,0,1,0,858,46
51,52,MemResp,3,52,51,51,0,YF,2,1,1,2,6,11,11,8,4,4,4,4,a,2,1,0,0,0,878,46
52,53,MemResp,3,53,52,52,0,YF,2,1,1,2,6,12,11,8,4,4,4,4,a,2,1,0,0,0,707,46
53,54,MemResp,3,54,53,53,0,YM,1,1,0,1,7,12,11,8,4,4,4,4,k,2,0,0,0,1,801,46
54,55,MemResp,3,55,54,54,0,YF,2,1,1,2,7,13,11,8,4,4,4,4,a,2,1,0,0,0,774,46
55,56,MemResp,3,56,55,55,0,OF,2,2,0,4,7,13,11,9,4,4,4,4,a,2,1,0,0,0,1155,46
56,57,MemResp,3,57,56,56,0,OM,1,2,1,3,7,13,12,9,4,4,4,4,a,2,1,0,0,0,1360,46
57,58,MemResp,3,58,57,57,0,OF,2,2,0,4,7,13,12,10,4,4,4,4,a,2,1,0,0,0,1061,46
58,59,MemResp,3,59,58,58,0,YM,1,1,0,1,8,13,12,10,4,4,4,4,k,2,0,0,0,1,994,46
59,60,MemResp,3,60,59,59,0,YM,1,1,0,1,9,13,12,10,4,4,4,4,a,2,1,0,0,0,1062,46
60,61,MemResp,3,61,60,60,0,OF,2,2,0,4,9,13,12,11,4,4,4,4,a,2,1,0,0,0,835,46
61,62,MemResp,3,62,61,61,0,OM,1,2,1,3,9,13,13,11,4,4,4,4,a,2,1,0,0,0,808,46
62,63,MemResp,3,63,62,62,0,OF,2,2,0,4,9,13,13,12,4,4,4,4,a,2,1,0,0,0,845,46
63,64,MemResp,3,64,63,63,0,YM,1,1,0,1,10,13,13,12,4,4,4,4,a,2,1,0,0,0,930,46
64,65,MemResp,3,65,64,64,0,OF,2,2,0,4,10,13,13,13,4,4,4,4,s,2,1,0,0,0,943,46
65,66,MemResp,3,66,65,65,0,OF,2,2,0,4,10,13,13,14,4,4,4,4,a,2,1,0,0,0,1276,46
66,67,MemResp,3,67,66,66,0,YM,1,1,0,1,11,13,13,14,4,4,4,4,a,2,1,0,0,0,1081,46
67,68,MemResp,3,68,67,67,0,YM,1,1,0,9,11,13,13,14,5,4,4,4,a,1,0,1,0,0,758,46
68,69,MemResp,3,69,68,68,0,YM,1,1,0,1,12,13,13,14,5,4,4,4,a,2,1,0,0,0,843,46
69,70,MemResp,3,70,69,69,0,YM,1,1,0,1,13,13,13,14,5,4,4,4,a,2,1,0,0,0,832,46
70,71,MemResp,3,71,70,70,0,YF,2,1,1,2,13,14,13,14,5,4,4,4,a,2,1,0,0,0,709,46
